"Alveolar_Type1"	"Alveolar_Type2"	"B_cells"	"Blood_vessel"	"Ciliated"	"DC_1"	"DC_2"	"DC_activated"	"DC_Monocyte_Dividing"	"DC_plasmacytoid"	"Fibroblast"	"Lymph_vessel"	"Macrophage_Dividing"	"Macrophage_MARCOneg"	"Macrophage_MARCOpos"	"Mast_cells"	"Monocyte"	"Muscle_cells"	"NK"	"NK_Dividing"	"Plasma_cells"	"T_CD4"	"T_CD8_CytT"	"T_cells_Dividing"	"T_regulatory"
"ATP10D"	7.06806282722513	5.85970915312233	3.86847195357834	7.34966592427617	3.43347639484979	3.68098159509202	6.23052959501558	2.45901639344262	10.3305785123967	4.34782608695652	14.9221453287197	13.946587537092	8.51063829787234	7.79082177161153	6.71542553191489	1.27104087942288	2.67018295698039	7.15137067938021	3.29237857554233	6.92307692307692	6.96864111498258	1.51157953127167	2.39791485664639	3.40909090909091	1.66320166320166
"ATP8B2"	1.04712041884817	1.19760479041916	0.773694390715667	3.78619153674833	4.29184549356223	0.613496932515337	0.124610591900312	0	1.65289256198347	0	10.3157439446367	6.52818991097923	1.06382978723404	0.32017075773746	0.620567375886525	1.03057368601855	0.379100049447833	5.84028605482718	1.19024764830102	0	6.96864111498258	2.44071557342948	1.58123370981755	6.81818181818182	2.49480249480249
"B3GAT1"	0.523560209424084	0.192472198460222	0.0644745325596389	0.111358574610245	0	0	0	0	0	0	0.108131487889273	0	0	0	0.0664893617021277	0.0687049124012367	0.197791330146695	0	2.5340756383183	2.30769230769231	0	0.44376646789627	1.80712423979149	3.40909090909091	3.11850311850312
"BARX1"	0.130890052356021	0.0213857998289136	0	0	0	0	0	0	0	0	0.0432525951557093	0	0	0	0.0221631205673759	0	0	0	0	0	0	0.0138677021217584	0	0	0
"BEGAIN"	0.261780104712042	0.0641573994867408	0.0644745325596389	0.259836674090572	0.214592274678112	0	0.0623052959501558	0.819672131147541	0	0	0.562283737024222	0.593471810089021	1.06382978723404	0	0.421099290780142	3.12607351425627	0.0494478325366738	0.476758045292014	0.0767901708581302	0	0.348432055749129	0.0277354042435169	0.0173761946133797	0	0
"BEND4"	0	0.0213857998289136	1.67633784655061	0.22271714922049	0	0	0.249221183800623	0	0	0	0.0216262975778547	0	0	0.32017075773746	0.0443262411347518	0.0343524562006183	0.148343497610021	0	0.0479938567863313	0	0.348432055749129	0.0277354042435169	0.0173761946133797	0	0
"BHLHE22"	0	0.0427715996578272	0	0.0371195248700817	0	0	0.0623052959501558	0	0.826446280991736	0	5.47145328719723	0	0	0	0.0221631205673759	0.0343524562006183	0.0164826108455579	0.357568533969011	0.0479938567863313	0	0	0	0.0173761946133797	0	0
"BRSK1"	0.261780104712042	0.0427715996578272	0.0644745325596389	0.148478099480327	0	0	0.934579439252336	0	2.06611570247934	0	0.778546712802768	1.78041543026706	6.38297872340426	1.06723585912487	5.03102836879433	0.0343524562006183	1.00543926157903	0.953516090584029	0.211172969859858	0	9.75609756097561	0.152544723339343	0.0695047784535187	1.13636363636364	0
"BRSK2"	0	0.192472198460222	0	0.185597624350408	0	0	0.0623052959501558	0	0	0	0.346020761245675	0.29673590504451	0	0.106723585912487	0.0221631205673759	0.0343524562006183	0	8.10488676996424	0.00959877135726627	0	0	0.0138677021217584	0	0	0
"BTNL9"	0.392670157068063	0.106928999144568	0.773694390715667	15.7386785449146	1.50214592274678	0.613496932515337	0.124610591900312	0	0.413223140495868	0	0.194636678200692	0	0	0.32017075773746	0.155141843971631	0	0.0659304433822318	0.238379022646007	0.0287963140717988	0	0	0.0554708084870337	0.0347523892267593	3.40909090909091	0.207900207900208
