"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"AgingCluster"	"nlp"	"genes"
"OVCA2"	614.342931206637	9.49990484782834	0.79101776346089	12.009723784538	3.15898394537306e-33	1.51717383485508e-30	"0"	29.8189646557373	"OVCA2"
"S100A12"	2072.68557568472	7.96073785871975	0.665323910115831	11.9652063268458	5.40630358999033e-33	2.53880016585946e-30	"0"	29.5953714819857	"S100A12"
"LYPLAL1"	865.112631351227	-2.2671458551779	0.190563896611669	-11.8970376628994	1.22623082760612e-32	5.6331977932549e-30	"0"	29.2492449995172	"LYPLAL1"
"CCNI"	5484.74020846353	-1.6442177506594	0.140266829954306	-11.7220710783513	9.82404738722375e-32	4.33036949611816e-29	"0"	28.3634750451527	"CCNI"
"CEACAM8"	127.384321477723	-9.87437956836826	0.842382495555231	-11.7219667080806	9.83616012746884e-32	4.33036949611816e-29	"0"	28.3634750451527	"CEACAM8"
"HES4"	2619.74983436839	7.54933534294063	0.648562157733082	11.6401107479471	2.57680801075013e-31	1.11128789557494e-28	"0"	27.9541734160704	"HES4"
"AKAP2"	272.81965299416	6.45783890707664	0.556696245441215	11.6002918287304	4.10675431988674e-31	1.73567864575693e-28	"0"	27.7605306796742	"AKAP2"
"HSH2D"	1280.19711759284	5.01222442646827	0.433688649788606	11.557195303385	6.78900987625443e-31	2.81304620990213e-28	"0"	27.550823133622	"HSH2D"
"APOBEC3A"	11126.8419425062	7.90002742988629	0.685903041103557	11.5177028770362	1.0743708749312e-30	4.36607794789347e-28	"0"	27.3599085150681	"APOBEC3A"
"TPST1"	207.875126156599	7.28190523533131	0.635695643102274	11.4550183163042	2.21916342017496e-30	8.84818139530891e-28	"0"	27.0531459825387	"TPST1"
"TEX14"	367.301445969779	-4.26906522896192	0.373705500401016	-11.4236082272829	3.18720861565988e-30	1.2472609715949e-27	"0"	26.9040426670784	"TEX14"
"VKORC1"	1347.29984572236	-2.52168569638113	0.22149885490976	-11.3846443919924	4.9871270793301e-30	1.91614489891643e-27	"0"	26.7175716526581	"VKORC1"
"PTPRCAP"	1638.70716873419	9.6305792417895	0.850461432863521	11.323945883546	9.98730487404424e-30	3.76878083211255e-27	"0"	26.4237991175707	"PTPRCAP"
"SLC35A1"	332.453483906314	-2.45844042093924	0.217160639536992	-11.3208380035207	1.03477983271159e-29	3.83631007453708e-27	"0"	26.4160862976906	"SLC35A1"
"KLF8"	132.005732118274	-3.97142003837855	0.351066815623525	-11.3124335928047	1.13886235220857e-29	4.14938607359854e-27	"0"	26.382016154992	"KLF8"
"RGL1"	1790.18213102863	6.11883390264597	0.541551870633939	11.2987032903852	1.33169807195007e-29	4.76973621295742e-27	"0"	26.321505638659	"RGL1"
"ECSCR"	170.327786028652	-7.17643185329245	0.636130937431161	-11.2813753128758	1.62190281147057e-29	5.71234170199936e-27	"0"	26.2431858217406	"ECSCR"
"SAMD13"	72.6923386510809	-5.07102692531098	0.449565703339811	-11.2798349332221	1.65055390953921e-29	5.71795167481683e-27	"0"	26.2427595193958	"SAMD13"
"PIAS2"	478.240620184476	-2.24004242322052	0.199816253951544	-11.210511552097	3.62094575383487e-29	1.23415847854901e-26	"0"	25.9086290688764	"PIAS2"
"AL133453.1"	90.7726804889354	-7.27580208119179	0.651408310904505	-11.1693418081957	5.7606153454021e-29	1.93227497585773e-26	"0"	25.7139310704671	"AL133453.1"
"FAM20A"	421.900297490505	5.08406482035338	0.455942177208891	11.1506789116904	7.10620882033455e-29	2.34638132486421e-26	"0"	25.6296014066166	"FAM20A"
"TAP1"	4936.30779037793	3.39827232843327	0.304839791917278	11.1477320826785	7.34547078312956e-29	2.38806905521683e-26	"0"	25.6219531189723	"TAP1"
"IGLV2-14"	9620.85986738615	29.1413957541207	2.62082198562082	11.1191816590388	1.01195924944578e-28	3.24010952413457e-26	"0"	25.4894403092615	"IGLV2-14"
"FRMD4A"	645.831332250584	-4.02976987176241	0.363092963394465	-11.098452126665	1.27635178498719e-28	3.96700865710756e-26	"0"	25.4015368517744	"FRMD4A"
"SMAD3"	326.716275764897	5.55538626379281	0.500555617314737	11.0984395572165	1.27653127334523e-28	3.96700865710756e-26	"0"	25.4015368517744	"SMAD3"
"AL157938.3"	44.1845155835959	-6.02086920682119	0.543790556565055	-11.0720370814326	1.71458091615021e-28	5.2510904232009e-26	"0"	25.2797505031452	"AL157938.3"
"PNPLA3"	111.421225506873	-6.16881003604527	0.557245847446387	-11.070176770835	1.75054957450549e-28	5.28465908692142e-26	"0"	25.276983023767	"PNPLA3"
"GPA33"	170.89369301822	-5.22757759806536	0.474204500934217	-11.0238886129648	2.93116707985317e-28	8.72414404668411e-26	"0"	25.0592771722814	"GPA33"
"CHDH"	183.363220980551	-3.90618326276087	0.355127236445431	-10.9993908151314	3.84722088725458e-28	1.12915933040922e-25	"0"	24.9472447724813	"CHDH"
"OAF"	131.713535191542	4.92230381893392	0.447564522522734	10.9979758699125	3.90805644445276e-28	1.13130203813939e-25	"0"	24.9464214304546	"OAF"
"TMEM35B"	1034.61899769308	5.32333460837037	0.485577066673179	10.9629036742653	5.76203932978302e-28	1.64545155563479e-25	"0"	24.7837148994104	"TMEM35B"
"TRHDE"	239.718189724841	-7.5047353517787	0.688986432410256	-10.8924283538141	1.25255148379256e-27	3.52918906073392e-25	"0"	24.452325075606	"TRHDE"
"RABGGTB"	1819.36791665849	-1.62505082516106	0.149404507255901	-10.8768527470036	1.48605553075251e-27	4.13201650998184e-25	"0"	24.3838379518718	"RABGGTB"
"TMEM74B"	140.880966576851	-6.19185031088633	0.570323761100786	-10.856728639423	1.85267688305874e-27	5.08451531075291e-25	"0"	24.293750440558	"TMEM74B"
"LRRC75A"	275.456126777613	-5.68585554105085	0.525536378820138	-10.8191473895983	2.79364083953173e-27	7.56861772063903e-25	"0"	24.1209834297621	"LRRC75A"
"PXN"	394.446311921496	4.17029354532579	0.387541120238261	10.7609059466048	5.26500015320349e-27	1.40835421819615e-24	"0"	23.8512881011167	"PXN"
"RPS10"	10782.8453645148	-4.09862506030753	0.382131702503427	-10.725687069292	7.7111840340824e-27	2.03690926260287e-24	"0"	23.6910283169147	"RPS10"
"DPEP2"	1050.57436963071	-4.19995666354777	0.394154213488306	-10.6556178262759	1.6415105339822e-26	4.28251859310023e-24	"0"	23.3683007428135	"DPEP2"
"LAG3"	1502.63717902458	5.00344656934278	0.470584460472328	10.6324092476849	2.10600511101041e-26	5.42732926900879e-24	"0"	23.2654138295398	"LAG3"
"IGLV1-44"	1814.52004298514	26.8095351589637	2.54575978256879	10.5310545568882	6.21344463762586e-26	1.5819579768953e-23	"0"	22.8008050572763	"IGLV1-44"
"S100A1"	73.6242249155737	-6.39254556924096	0.607530419612954	-10.5221818741414	6.82739427988063e-26	1.71757733240997e-23	"0"	22.7650837001008	"S100A1"
"AC025569.1"	50.2998201264016	-5.14073295948179	0.489451345885173	-10.5030520453157	8.36315561464469e-26	2.07917887586672e-23	"0"	22.6821081458489	"AC025569.1"
"MMD"	700.957502734006	-3.17817601447903	0.30517214178322	-10.4143713640043	2.13201424336933e-25	5.23880523149776e-23	"0"	22.2807677474689	"MMD"
"AC025048.4"	172.387769341758	-3.71956850055753	0.358851841088767	-10.3651927471579	3.57037909015547e-25	8.57377851513244e-23	"0"	22.0668277397312	"AC025048.4"
"SLCO4A1"	236.887012952753	6.95541502898061	0.671012279255286	10.3655555106979	3.55685676441883e-25	8.57377851513244e-23	"0"	22.0668277397312	"SLCO4A1"
"IGKV3-20"	3090.66473440651	27.5905811164378	2.66471565132705	10.3540432551208	4.01177312971209e-25	9.52548199742425e-23	"0"	22.0211130394292	"IGKV3-20"
"TNNI1"	28.3855260957037	-6.8000732539421	0.658388327469983	-10.3283624120024	5.24483126503022e-25	1.2314863810291e-22	"0"	21.909570386648	"TNNI1"
"KRT7"	3940.25827556344	9.23578430997014	0.894546533632219	10.3245431766072	5.45779816652803e-25	1.26740869071506e-22	"0"	21.8970833192112	"KRT7"
"SUMF2"	1244.06445440869	-2.11292307706327	0.205660405841877	-10.2738447316291	9.24453359172734e-25	2.12342917239546e-22	"0"	21.6729622204519	"SUMF2"
"ARHGAP6"	311.102388452039	-3.10540939354616	0.302295909516157	-10.2727469866084	9.35035950444995e-25	2.12464297901114e-22	"0"	21.6727140375064	"ARHGAP6"
"ACSM3"	196.96294201434	-5.53269496807999	0.538804935765448	-10.2684563574385	9.77562775463171e-25	2.19764431607316e-22	"0"	21.6580425958372	"ACSM3"
"ARID5B"	1234.82784162103	3.57660985400889	0.348794710142812	10.2541975265177	1.13313270896402e-24	2.52056425324503e-22	"0"	21.5985022272185	"ARID5B"
"C1orf56"	668.840066384917	-5.0854670559132	0.496723014952083	-10.2380338797142	1.33930326311338e-24	2.91774809856824e-22	"0"	21.5349522052884	"C1orf56"
"SCO2"	217.833923518861	7.99714279957754	0.78107514793054	10.2386342988456	1.3310187932472e-24	2.91774809856824e-22	"0"	21.5349522052884	"SCO2"
"SPSB1"	353.091176031562	3.49196395990116	0.341240933562401	10.2331332980678	1.4088586181436e-24	3.03795921618474e-22	"0"	21.517418060725	"SPSB1"
"SLC38A5"	357.129725779435	5.8927940775733	0.575976214398826	10.2309677557152	1.44072376979477e-24	3.07529037407101e-22	"0"	21.5121138711397	"SLC38A5"
"IFITM2"	14117.3632500964	4.20038080869912	0.410971011473732	10.2206255220694	1.60303080504381e-24	3.38752469721858e-22	"0"	21.4701175298218	"IFITM2"
"SLC9A9"	158.19273098136	3.21801758550291	0.315045635222191	10.2144490376239	1.70846957933663e-24	3.57459199510313e-22	"0"	21.4467735215237	"SLC9A9"
"IL1R2"	1782.37539426919	7.16881484785849	0.704206944082919	10.1799831826344	2.43603471903206e-24	4.99789181384325e-22	"0"	21.3012131490018	"IL1R2"
"DPH1"	140.666560209522	4.40211620822269	0.432410668499807	10.1804061021326	2.42547024637012e-24	4.99789181384325e-22	"0"	21.3012131490018	"DPH1"
"KLHDC7B"	602.375163960566	4.45658805122042	0.439727587925965	10.1348838999175	3.8683282258573e-24	7.86014539123235e-22	"0"	21.104569420624	"KLHDC7B"
"ARNTL2"	245.028129612162	3.91058130138073	0.386530664310803	10.1171308319184	4.63812738378857e-24	9.33456265468762e-22	"0"	21.0299060249142	"ARNTL2"
"DST"	1247.65701745537	-2.94425161994319	0.29185816562773	-10.0879535565184	6.24580142768607e-24	1.2451535449987e-21	"0"	20.9047770906293	"DST"
"SLC46A3"	443.741677242077	-3.19662950905499	0.317050664196898	-10.0823933523438	6.6096193881602e-24	1.30536894308973e-21	"0"	20.8842667241092	"SLC46A3"
"CEACAM5"	872.508459390752	10.2390731409868	1.0158658642697	10.0791585790193	6.83085573430854e-24	1.33657077201304e-21	"0"	20.8740080402139	"CEACAM5"
"SMCR5"	47.808214656925	-7.3173939708678	0.727600682777337	-10.056881671601	8.56689453493854e-24	1.6608772047002e-21	"0"	20.7796624754911	"SMCR5"
"APOBEC3B"	367.399300586151	6.39527502882523	0.636230295884659	10.0518241117908	9.01824116807804e-24	1.73248611239841e-21	"0"	20.761330238005	"APOBEC3B"
"IGLV1-40"	3991.38493500203	27.0925313056433	2.69907556752641	10.0377075883327	1.04064445996845e-23	1.98116204757237e-21	"0"	20.7030800002372	"IGLV1-40"
"TFRC"	5892.53297370685	-3.81469044783935	0.380423008660164	-10.0274966576668	1.15405391553786e-23	2.17745244135233e-21	"0"	20.6620513218238	"TFRC"
"PROS1"	370.153779418374	-4.00317982182356	0.399500858499232	-10.0204536151986	1.23932819387833e-23	2.31765339761388e-21	"0"	20.6349515117541	"PROS1"
"NOL3"	130.194485835592	3.59820111585515	0.359344637095931	10.0132317124148	1.33324709331379e-23	2.47141908560587e-21	"0"	20.6070536037952	"NOL3"
"AC016831.7"	484.825963875001	3.45767693725761	0.346721364034432	9.97249461938042	2.01112923545539e-23	3.6955811307516e-21	"0"	20.4323172590191	"AC016831.7"
"NLRC5"	861.293337067747	3.14698564759863	0.316052352378948	9.95716571609436	2.34657087887103e-23	4.2748048114054e-21	"0"	20.3690837104714	"NLRC5"
"AMOTL1"	141.502004899917	-4.26305738595898	0.428347334074411	-9.95233785024191	2.46327292114777e-23	4.44904986065767e-21	"0"	20.3517327270712	"AMOTL1"
"TM2D1"	1289.20330939776	-1.45354816825784	0.146071363913259	-9.95094540995035	2.49798702142828e-23	4.47351370651037e-21	"0"	20.3493512276729	"TM2D1"
"TRPC6"	181.536133778524	-7.57638776208476	0.763719210098139	-9.92038390799569	3.39448010824616e-23	6.02791207121495e-21	"0"	20.2198330913383	"TRPC6"
"PVALB"	109.099361793885	-6.27130237691499	0.632463840699126	-9.91566943966739	3.55862763093645e-23	6.26674325807908e-21	"0"	20.2029580975265	"PVALB"
"ALOX5AP"	18004.6182877088	-3.79249711725741	0.382918652179464	-9.90418485929479	3.9921212964914e-23	6.97202539152532e-21	"0"	20.1566410398955	"ALOX5AP"
"ALDH2"	8776.56071484467	-4.07298243028545	0.412203162454194	-9.88100723448006	5.03245001414359e-23	8.71686341794117e-21	"0"	20.059639758798	"ALDH2"
"AC114490.2"	103.847277340703	-3.89636729065087	0.394531854096173	-9.87592573374589	5.29418338004351e-23	9.09566529976255e-21	"0"	20.0411655290966	"AC114490.2"
"DNAJC25-GNG10"	435.243659419917	3.8170318609552	0.38773018471221	9.84455688893133	7.23573655580275e-23	1.23310955562277e-20	"0"	19.9089983367954	"DNAJC25-GNG10"
"CD302"	1956.36296999112	-3.89305703999466	0.396509177058417	-9.81832770902325	9.38880639070044e-23	1.58723405318625e-20	"0"	19.7993590275537	"CD302"
"CCND1"	573.219818651895	5.26159419425605	0.537798231037304	9.78358404806855	1.32435938432947e-22	2.22113988171827e-20	"0"	19.6534240898327	"CCND1"
"AC037459.2"	75.9409028738924	-4.12967977814137	0.422175951877633	-9.78189250186935	1.34668536218919e-22	2.24079961210881e-20	"0"	19.6495969793626	"AC037459.2"
"LINC00881"	56.450193125989	-5.38111207235901	0.550354220388409	-9.77754303139773	1.40581720669334e-22	2.32091634467529e-20	"0"	19.6343405130127	"LINC00881"
"CHRM3"	55.9177213555807	-6.04123356865678	0.617959332413704	-9.77610216688558	1.42596716253362e-22	2.33593318439229e-20	"0"	19.6315395836764	"CHRM3"
"TREX1"	368.495766476086	7.70636685637975	0.78874713844642	9.77038962266009	1.50870740100594e-22	2.45142913065158e-20	"0"	19.6105806574298	"TREX1"
"MYO10"	177.740912015033	4.44699704309913	0.455184611317666	9.76965594295023	1.51967261080521e-22	2.45142913065158e-20	"0"	19.6105806574298	"MYO10"
"GPR85"	121.498259400893	-5.78041819167901	0.592855190163193	-9.75013508794257	1.84222962855783e-22	2.94924215990031e-20	"0"	19.5302895664137	"GPR85"
"PHLDA2"	2324.99419169561	3.4315780990722	0.352007120018725	9.74860422962371	1.87021869853336e-22	2.97153846145918e-20	"0"	19.5270186441736	"PHLDA2"
"MERTK"	357.218319234053	4.4779621806582	0.459535390279451	9.7445425866658	1.94653497697694e-22	3.06971471145349e-20	"0"	19.5129019844572	"MERTK"
"WHRN"	213.465976020986	6.14176700897667	0.630625858192063	9.73916138894853	2.05241058413015e-22	3.21270670102506e-20	"0"	19.4931289208663	"WHRN"
"DLEU7"	158.060720627797	-4.56762431456607	0.469387198218484	-9.73103725858326	2.22314305389224e-22	3.45437198638609e-20	"0"	19.461630896955	"DLEU7"
"AL662899.2"	587.089392204499	11.997992088574	1.23340526253237	9.72753437417668	2.30102655024008e-22	3.54929146420974e-20	"0"	19.4498583353663	"AL662899.2"
"KRT23"	880.281650142859	8.93226422184162	0.919936385806117	9.70965423224835	2.74265914371656e-22	4.19984587137815e-20	"0"	19.3767666473255	"KRT23"
"ACOX1"	746.780561187064	-1.90755385437476	0.196837109548337	-9.69102756462866	3.29199700818842e-22	5.00478278971494e-20	"0"	19.3006147663915	"ACOX1"
"R3HDM2"	570.431345481926	-2.85468277057056	0.294680898035122	-9.68736959064894	3.41202888826396e-22	5.15021389048528e-20	"0"	19.2881747341571	"R3HDM2"
"TACSTD2"	5239.45059305304	8.12118924353893	0.839250312017904	9.67671876583785	3.78674421705557e-22	5.67528218402967e-20	"0"	19.2460125397877	"TACSTD2"
"HIST1H3H"	137.364578074104	5.65455749529683	0.585086094111369	9.66448793127615	4.26748726901867e-22	6.3507423217537e-20	"0"	19.1971755081885	"HIST1H3H"
"SYNC"	220.785082887774	-4.99434042374656	0.517152168728022	-9.65739046600258	4.57365684024282e-22	6.75877736699379e-20	"0"	19.1701318589092	"SYNC"
"ACO1"	942.030760248867	-4.41184907241805	0.457068602892208	-9.65248771081858	4.79774644218487e-22	7.04069290390629e-20	"0"	19.1523845980262	"ACO1"
"NRIP3"	179.29266288999	3.66658436978756	0.38015571271665	9.64495402051334	5.16343290648567e-22	7.52508028826588e-20	"0"	19.1234888620378	"NRIP3"
"PRKACB"	859.581402018649	-2.37322890487744	0.246151768958936	-9.64132378538117	5.34936186836236e-22	7.69408568890367e-20	"0"	19.1138429812719	"PRKACB"
"CEACAM6"	1441.68846603306	8.00775542249862	0.830570686792996	9.64126900916551	5.35221747240601e-22	7.69408568890367e-20	"0"	19.1138429812719	"CEACAM6"
"AMIGO2"	753.290037350202	-4.01226350290164	0.416531427951341	-9.63255887469396	5.82602593536161e-22	8.31862027473388e-20	"0"	19.079948699762	"AMIGO2"
"AC026904.2"	37.9180610050308	-5.24801225940678	0.544920561984743	-9.63078405463752	5.92754475306018e-22	8.40677018266226e-20	"0"	19.0753708248043	"AC026904.2"
"CLEC3B"	23.5862547052363	-7.15232042748882	0.74320692061337	-9.62359233897606	6.35713495555323e-22	8.95593172538339e-20	"0"	19.0478892258793	"CLEC3B"
"IGHV3-30"	3650.38120084239	27.9427149918198	2.91063671835009	9.60020699788986	7.9784031335787e-22	1.11655374184626e-19	"0"	18.9521203686735	"IGHV3-30"
"ATP5PO"	2389.05720702464	-2.83371611140756	0.295493041976931	-9.58978963582089	8.82647884759917e-22	1.22711283557543e-19	"0"	18.9111155011567	"ATP5PO"
"ENPP4"	846.255610604099	-1.97099945896346	0.205664326343817	-9.58357481826218	9.3742870842031e-22	1.29475447492405e-19	"0"	18.887812579301	"ENPP4"
"IGFBP4"	403.037008186599	6.26525387995888	0.653952861215204	9.58058944541738	9.64926480313539e-22	1.32407963519388e-19	"0"	18.878085893986	"IGFBP4"
"CHMP4A"	1192.82474739305	-2.30598290045089	0.240849567985229	-9.57437009225742	1.0248008403301e-21	1.39716718437778e-19	"0"	18.8547516232999	"CHMP4A"
"IFITM3"	73449.0412586902	4.01844921804555	0.421631737892882	9.53070857077287	1.56213313117609e-21	2.11608957230854e-19	"0"	18.6744659529242	"IFITM3"
"FFAR4"	861.075745064651	-7.10689791296028	0.746524450252838	-9.51998010320126	1.73212222169019e-21	2.33141444514377e-19	"0"	18.6323805170243	"FFAR4"
"AC007038.2"	55.2933108738644	-3.53038208094622	0.37196385142285	-9.49119670484558	2.28396958054812e-21	3.05473703646474e-19	"0"	18.5150261695549	"AC007038.2"
"ALPK3"	135.425941492267	-3.31578723836238	0.349444770594616	-9.48873045866512	2.33865029122251e-21	3.10819861346629e-19	"0"	18.5074912376264	"ALPK3"
"AC090517.4"	62.4005460800828	3.39148720204518	0.357572167713787	9.48476282068978	2.42934908174065e-21	3.20856279970897e-19	"0"	18.4936894560455	"AC090517.4"
"PDGFA"	67.2846212511904	4.48712208993956	0.473179565681062	9.48291603311548	2.47274436634874e-21	3.24559217078768e-19	"0"	18.4887060529337	"PDGFA"
"HIST1H2BJ"	241.736309495401	4.87478877263426	0.514785973913223	9.46954466450945	2.81066193053356e-21	3.666352340496e-19	"0"	18.4357658011904	"HIST1H2BJ"
"SMIM3"	695.028542270551	3.40277878875377	0.359508238558435	9.46509265656422	2.93300910578261e-21	3.80247536339866e-19	"0"	18.4199335911013	"SMIM3"
"CCDC88C"	441.675299135551	3.71354708226587	0.392653069824221	9.45757812087987	3.15157978228359e-21	4.06092585117176e-19	"0"	18.3913749402615	"CCDC88C"
"CAT"	2094.93019368596	-3.19281553361657	0.337648467678348	-9.45603442411628	3.19843638718916e-21	4.09632471115644e-19	"0"	18.3876056246216	"CAT"
"AC005726.5"	37.9152227244625	-5.06828755530763	0.537864254009417	-9.42298640879542	4.38436882331121e-21	5.58135433579594e-19	"0"	18.2532604051493	"AC005726.5"
"AC015912.3"	1753.31084510972	4.63166667214259	0.491886032192107	9.41613782262002	4.67985854344702e-21	5.92184255928877e-19	"0"	18.2275431431374	"AC015912.3"
"OPN3"	1161.83077362422	-2.45764295571634	0.261141811935534	-9.41114307778118	4.90770221408317e-21	6.17318828500033e-19	"0"	18.2094904766552	"OPN3"
