"Alveolar_Type1"	"Alveolar_Type2"	"B_cells"	"Blood_vessel"	"Ciliated"	"DC_1"	"DC_2"	"DC_activated"	"DC_Monocyte_Dividing"	"DC_plasmacytoid"	"Fibroblast"	"Lymph_vessel"	"Macrophage_Dividing"	"Macrophage_MARCOneg"	"Macrophage_MARCOpos"	"Mast_cells"	"Monocyte"	"Muscle_cells"	"NK"	"NK_Dividing"	"Plasma_cells"	"T_CD4"	"T_CD8_CytT"	"T_cells_Dividing"	"T_regulatory"
"ADAMTSL2"	-0.169405273612867	-0.237973704325801	-0.261595978992882	0.171575231102976	-0.255684622314805	-0.14429042828408	-0.29821078721032	-0.315609551776879	-0.0848242862452577	-0.315609551776879	4.67272612054652	-0.232745999464338	-0.315609551776879	-0.2262018128356	-0.198017502695053	-0.296423693220145	-0.25577351705111	0.782752266182314	-0.256639463771007	-0.315609551776879	-0.218309840524871	-0.296246760812154	-0.301052635810245	-0.315609551776879	-0.315609551776879
"ADCY1"	-0.0984487019177536	-0.277858199785081	-0.450344176761555	3.14228133923841	-0.450344176761555	-0.450344176761555	-0.450344176761555	-0.450344176761555	-0.450344176761555	-0.450344176761555	2.16604129580114	0.347424792914006	-0.450344176761555	-0.450344176761555	-0.0332482105681486	-0.357988236266651	-0.361717790481461	2.43360491146964	-0.372925821190237	-0.450344176761555	-0.450344176761555	-0.37577805756015	-0.356913023753505	-0.450344176761555	-0.450344176761555
"ADCY5"	-0.180529463248049	-0.23166603201572	-0.241652826120654	-0.189650321404986	-0.241652826120654	-0.241652826120654	-0.212557343731452	-0.241652826120654	-0.241652826120654	-0.241652826120654	0.0916175512028983	-0.241652826120654	0.255137059354557	-0.241652826120654	-0.210603458278453	-0.241652826120654	-0.233955735427615	4.76769452920746	-0.237170367948772	-0.241652826120654	-0.241652826120654	-0.235176852020714	-0.241652826120654	-0.241652826120654	-0.241652826120654
"ADD1"	0.952157337758644	0.569881886089604	-0.756771727888357	0.523615539988871	0.240876141858695	-0.848813232629446	-0.344004658075221	-0.324585786635427	0.62871002494995	0.605829425104698	1.81022848890043	2.1379809277987	1.51886272318491	-0.741724183024897	-0.0355554291630569	-1.19936142100203	-1.05635168208106	1.04918438895445	-0.615050404602657	-0.215609252856162	0.000165483108392107	-1.36828014522552	-1.21731931890342	0.102456228509154	-1.41652135411926
"ADRA2C"	-0.116159278657074	-0.242786334204712	-0.242786334204712	0.690888436173268	-0.242786334204712	-0.242786334204712	-0.242786334204712	-0.242786334204712	-0.242786334204712	-0.242786334204712	-0.20094244560679	-0.242786334204712	-0.242786334204712	-0.242786334204712	-0.242786334204712	-0.242786334204712	-0.242786334204712	4.71544016025417	-0.233500188069331	-0.242786334204712	-0.242786334204712	-0.242786334204712	-0.242786334204712	-0.242786334204712	-0.242786334204712
"ADSSL1"	0.351807525731165	0.331805293406049	-0.612114022631348	0.382195754059335	4.15999851579017	0.0875545920591928	-0.0280763272966913	-0.664827673749701	1.02440523708845	-0.664827673749701	0.873455617979815	-0.0583078452291783	-0.229940052023284	-0.490315671861619	-0.465504180458427	-0.608655311754121	-0.354879746216319	0.212204335739093	-0.574577430116325	-0.664827673749701	-0.379953552200689	-0.625144404425615	-0.600898059852125	0.264250427211282	-0.664827673749701
"AEBP1"	-0.295872525516956	-0.394319496856553	-0.386335549221983	0.184993038123683	-0.344247639488774	-0.443205547814577	-0.383003950104564	-0.350104109825274	-0.0780811094821755	0.0741852062003719	3.32902902311345	0.798254353431434	-0.313152840506777	-0.425699567570397	-0.34669491533458	-0.406568267866434	-0.407634568210291	3.04933821546101	-0.389414215166142	-0.47415479968023	-0.192915605026486	-0.430080764538309	-0.44698076498394	-0.47415479968023	-0.453178799455276
"AFF1"	0.613314665525643	0.574188924774095	-1.12138678271144	1.34197758305135	0.854129697219171	0.436032452617528	0.980147291659921	-0.647458920338593	1.30325842129711	0.844602247076564	0.693856722134217	1.21085213166839	1.6569896766832	0.0769968402828747	0.113492920286679	-1.01946972027525	-0.82286264810129	-0.43177173870283	-1.2703716998002	-0.562470220446052	0.386700378480523	-1.18769073069548	-1.44310557294867	-1.35511276448516	-1.22483915425229
"AGT"	-0.278765323955515	-0.162821964322335	-0.326456311784926	-0.245307281268957	-0.248267653626835	-0.326456311784926	-0.25835179832386	-0.326456311784926	-0.0253330497876518	-0.326456311784926	2.36841454201507	-0.218337870533679	-0.326456311784926	-0.287570597055289	-0.229552283323037	-0.276389785228182	-0.296428361643447	4.05975034479277	-0.326456311784926	-0.326456311784926	-0.326456311784926	-0.316350663552595	-0.320125136337199	-0.326456311784926	-0.326456311784926
"AHDC1"	1.14445869072665	-0.459433275666327	-0.796375572713336	0.764880630546266	1.56787940921584	-0.328823970640753	-0.429143525063595	-0.464271898633967	0.64407719044649	-1.01166063242472	1.7997834639654	2.55529978123848	-0.538033501059672	-0.631545794872409	-0.695909211514689	-0.935190432582204	-0.729139355284436	1.21704010014884	-0.383461390612256	0.358214762908041	-0.856535369887041	-0.777047386933673	-0.740898988255997	0.506099038540555	-0.780262761591486
