"gene"	"Alveolar_Type1"	"Alveolar_Type2"	"B_cells"	"Blood_vessel"	"Ciliated"	"DC_1"	"DC_2"	"DC_activated"	"DC_Monocyte_Dividing"	"DC_plasmacytoid"	"Fibroblast"	"Lymph_vessel"	"Macrophage_Dividing"	"Macrophage_MARCOneg"	"Macrophage_MARCOpos"	"Mast_cells"	"Monocyte"	"Muscle_cells"	"NK"	"NK_Dividing"	"Plasma_cells"	"T_CD4"	"T_CD8_CytT"	"T_cells_Dividing"	"T_regulatory"
"MRPL12"	"0.590483652548063"	"1.2190512689378"	"-1.36978144318052"	"-0.172346669024891"	"0.315510891619549"	"-0.240626722143326"	"-0.122545352457001"	"0.271401766800025"	"1.56474815612633"	"-0.184077524000706"	"0.798046195485995"	"0.716183792695231"	"2.35984573493556"	"-0.387287356350443"	"0.93011463573301"	"-1.38967856591182"	"-0.967509148370079"	"0.293356388858573"	"-1.19385129008834"	"0.285914668738043"	"0.240781752716603"	"-1.31734465078548"	"-1.32427219104902"	"0.369572174048222"	"-1.28569016588137"
"MRPL13"	"0.332578069226683"	"0.512746168497944"	"-1.13489975849995"	"-0.139310584590797"	"0.29225413086593"	"-0.0798730810819077"	"-0.168224563866626"	"-0.271302284788506"	"1.63062556265827"	"-0.824306424579453"	"0.908972347283891"	"1.09773210829044"	"2.6636488918381"	"-0.533705706417464"	"1.08388181192045"	"-1.23214439803982"	"-0.989310007679556"	"0.436847064233028"	"-0.920677029485202"	"0.122166128343326"	"-0.249302997448666"	"-1.1653312256763"	"-1.061594003064"	"0.85794374232875"	"-1.16941396026855"
"MRPL14"	"1.29668639056068"	"2.42634688162716"	"-1.13747220067445"	"-0.635726381462619"	"0.370149988291193"	"-0.298198089115079"	"-0.1471406082943"	"0.846098679645796"	"1.03444900261837"	"-0.657039295055394"	"0.284511546353061"	"0.601373188936236"	"1.85272054632818"	"-0.460805492901939"	"0.79646934928618"	"-1.17875637647664"	"-0.896032911943456"	"-0.162514741222954"	"-1.00466521463597"	"0.376526601926003"	"-0.00956880225135737"	"-1.06714439678856"	"-1.11847035524234"	"0.208476544283877"	"-1.32027385379169"
"MRPL15"	"0.186765356839382"	"0.384450543645525"	"-1.06355477658611"	"-0.0913774984645201"	"-0.327040182501879"	"0.0439906033176468"	"0.202845258457705"	"-0.044444871236731"	"1.90760502218637"	"-0.376403750021817"	"1.09711461839297"	"1.38632350739776"	"2.45335499183961"	"-0.468552983967939"	"1.13871778502884"	"-1.2083093495174"	"-0.947835257993015"	"0.186044584166105"	"-1.03328186359389"	"-0.306620886641518"	"0.15135303468919"	"-1.15902090611601"	"-1.20220299970662"	"0.352577947790232"	"-1.26249792740389"
"MRPL19"	"0.607051528001098"	"1.04516358202686"	"-0.920717424883724"	"0.0202559798324828"	"-0.0534134241323021"	"-0.12420014705912"	"-0.141075116506597"	"-0.379209326105643"	"0.968089917202163"	"-0.776545552353585"	"1.6519567534189"	"1.16301204252916"	"2.74596144859913"	"-0.723559637375398"	"0.808998478476667"	"-1.22481633678723"	"-1.09156861582678"	"0.59566149836562"	"-0.852419574390311"	"-0.175118510142059"	"-0.0546235452390532"	"-1.05340966800651"	"-0.964707044882143"	"0.0763873438736697"	"-1.14715464863528"
"MRPL27"	"0.635276876781969"	"1.21233176047432"	"-1.22094173736449"	"-0.101187271808838"	"0.0932272886991706"	"-0.391199051030663"	"-0.0513108436394898"	"-0.349979566923458"	"1.61786140670611"	"-0.832907415656731"	"1.08973893030947"	"0.639380670170899"	"2.52890559709191"	"-0.304925499313766"	"1.11860787122825"	"-1.0330732842782"	"-0.865113608434044"	"0.462168967539735"	"-1.06501311249014"	"-0.278280757751654"	"0.377636353506021"	"-1.26547049994742"	"-1.18179009346005"	"0.27670604733388"	"-1.11064902774279"
"MRPL3"	"0.612250993958403"	"1.36233610154062"	"-1.06264400000402"	"-0.473899781996648"	"-0.356791283712563"	"0.62819462577948"	"0.234527603740385"	"-0.202293594685032"	"1.49454702342268"	"-0.710726141868122"	"1.38552544905739"	"0.395764189623375"	"2.5552263923169"	"-0.553464603548986"	"0.66098405890341"	"-1.23464780935603"	"-1.04691541824493"	"0.482914511888143"	"-0.967790772658735"	"0.16000740012087"	"0.258862456717181"	"-0.978160049427189"	"-1.07830385868601"	"-0.291700616754618"	"-1.27380287612595"
"MRPL37"	"0.326808383088044"	"0.464262473523388"	"-1.05405925472763"	"-0.223255638828423"	"-0.314395085975879"	"-0.273548732607392"	"-0.202392094589767"	"-0.0431399259946724"	"1.56421312722009"	"-0.868919364452259"	"1.06037631651602"	"0.931517650925805"	"2.73993233221369"	"-0.627761435720372"	"0.649465124044655"	"-1.06258961022303"	"-0.897580134116389"	"0.317270762841177"	"-1.06426470581007"	"0.575925493970272"	"-0.0468787647679798"	"-1.06230366680497"	"-1.09120172577685"	"1.31402031059211"	"-1.11150183453958"
"MRPL39"	"0.117847469875361"	"-0.0459506054685551"	"-0.91416077246724"	"0.388454117877078"	"0.407110667370799"	"-0.630643667137843"	"-0.421636748604513"	"-0.423870724192771"	"1.85783070617791"	"-0.192258795502083"	"1.20889280960608"	"0.56317620838822"	"2.70393275634575"	"-0.843813516580946"	"0.510111011981974"	"-1.24162583676753"	"-1.27470927676687"	"0.802889982091562"	"-0.949718422092217"	"-0.0125197159293978"	"0.45243372190209"	"-1.03599017029648"	"-0.988281426354435"	"0.863660797230682"	"-0.901160570686619"
"MRPL4"	"0.429040892603442"	"0.885493738914429"	"-1.27989613897959"	"-0.0805564198474253"	"-0.202028437867733"	"0.384850705692123"	"0.0279694255730098"	"-0.169397217954729"	"1.71355039916289"	"0.583409913564008"	"0.98996051219046"	"0.817222195644105"	"2.27070974795177"	"-0.519197410324567"	"1.1270653712429"	"-1.36658691995526"	"-1.21703893241885"	"0.308531628196095"	"-1.15778178246236"	"0.20018984269665"	"0.105758691051978"	"-1.30221770328517"	"-1.2703050933259"	"-0.0982454536791824"	"-1.1805015543831"
"MRPL44"	"0.68950074193032"	"0.26112304634179"	"-0.651271894787491"	"-0.0605697014613487"	"-0.182869604428742"	"-0.742862191001001"	"-0.153599210555116"	"-0.204830036584983"	"1.90954215035889"	"-0.411777688451683"	"1.36330863461654"	"1.02572552983752"	"2.02569138350808"	"-0.70379584384854"	"1.63315590279647"	"-1.53592963223865"	"-1.19054401061205"	"-0.190221604306311"	"-0.732825644113712"	"0.355361337968032"	"0.286490368609"	"-1.11802637014822"	"-0.980726407718139"	"0.484799496482175"	"-1.17484875219281"
