"Partner"	"Pair"	"theta"	"theta_e"	"theta_f"	"theta_g"	"lrv"	"lrv1"	"lrv2"	"lrv3"	"lrv4"	"lrv5"	"lrv6"	"lrm"	"lrm1"	"lrm2"	"lrm3"	"lrm4"	"lrm5"	"lrm6"	"p"	"p1"	"p2"	"p3"	"p4"	"p5"	"p6"	"Zeros"	"theta_mod"	"Fstat"	"Pval"	"FDR"
"Bronchial Vessel 2"	"Vascular Smooth Muscle"	0.995081905763252	0.58656791916217	0.41343208083783	0.0248524866539772	23.1710141605957	21.0210477521468	29.0405581297904	23.8505570869932	38.927335796179	18.4887988768283	24.9713344501667	NA	-0.488272627278448	-0.316051485226345	-0.114192676046135	1.14486055968075	-0.271358509245048	0.409390395155936	21258400.5791124	9687806.22498268	4417612.38599024	1411991.99738944	893616.773809954	4192466.19434088	490234.337029275	495	0.995069596284649	2.86132273434098	0.0145772136012112	0.0179831046295316
"Proliferating Basal"	"Basophil/Mast 1"	0.995090306128545	0.606375418026605	0.393624581973395	0.00368777805571184	79.9721931170483	91.5501422758977	61.1611767158666	106.479398459906	199.595187399095	135.828840309726	14.0174157397768	NA	-0.202972196000606	0.257629094235751	0.703332832192844	1.4900296999388	-1.37391025650036	2.41972896287705	9213316813655.78	2928025259460.03	4741998271043.74	356650809352.648	102635067526.442	838744575199.242	193843763392.783	857	0.995077853570301	2.8565069768193	0.0147179190182834	0.0181143618686565
"Basophil/Mast 1"	"Myeloid Dendritic Type 2"	0.995124801474915	0.0249398350714046	0.975060164928595	0	2655.4323763899	63.2422311098504	8824.43125971307	69.1903155350676	123.563622335291	109.859239765594	0	NA	1.97141898421136	-5.45605718420863	1.88489420892449	3.40960269119367	3.27222905425021	0.000276952912644755	2176389253986742	792352501324889	638581758872894	155102421250882	125130893430450	360964530376815	84838186995925.8	1119	0.995112371543177	2.83637650670365	0.0153204862655305	0.0188121319725583
"TREM2+ Dendritic"	"Proliferating NK/T"	0.995170078699232	0.415013614898507	0.584986385101493	0.0324419392701152	25.3546360190297	33.2474938995568	23.0881442263825	28.6757533221757	61.3471806304648	30.1815001548824	21.330222348928	NA	-0.335534012271552	0.188668059480882	0.169997017726362	-2.25616250957565	-0.539770800358969	0.132323831352451	36638616079.7727	4003739056.07385	23537111962.4939	3124890838.35524	491256873.60757	2014532670.74546	3158992412.13819	638	0.995157969252225	2.80978660739689	0.0161531819955517	0.0197885849040633
"Nonclassical Monocyte"	"Proliferating NK/T"	0.995174023158461	0.546210260728525	0.453789739271475	0.00907598575783443	157.637998750845	299.681685456294	122.116020733231	125.751045508141	3907.60528666498	292.582430138517	14.9626631382605	NA	-0.135607857340281	0.244191117709764	-0.0131953484416546	8.81161861364031	0.661988898178957	-2.1079763466238	20155336041918.5	2856078030164.18	11806821131811.4	2315092947334.84	64378149213.1934	1000302117133.27	1927240276849.46	958	0.99516174949546	2.80758230148649	0.0162241488421868	0.0198295152515617
"Myofibroblast"	"IGSF21+ Dendritic"	0.995207544193267	0.581918363955967	0.418081636044033	0.00432033629354383	162.848428046455	296.574583933166	722.790249944195	344.146297311771	76.1021473151742	106.530716092833	1542.86665835154	NA	0.840522144336212	4.70244158644311	1.20668078351046	-0.317904837821027	-0.897582837477753	9.71154709933447	69330530828.6608	15916048658.332	478784788.0531	5334672035.73232	22793777088.3743	23942030833.9652	31615296.2445944	816	0.995195354309873	2.78798766068027	0.016868413977609	0.0205693362128812
"Myofibroblast"	"Myeloid Dendritic Type 2"	0.995210038668097	0.00752831941076126	0.992471680589239	2.94817544301348e-05	59015.4527222617	333.881819835454	4513760.52195687	377.255811822033	89.140741390281	121.853365886282	1862.06465189607	NA	3.18244445998578	-146.075495807192	3.07768742687714	1.8699548085408	1.38505729848525	13.1018147387875	169612896448167	32966581841005.4	2200919829028.86	5129217944604.76	41475691294928.4	85973149430479	158483181951.82	1114	0.995197823133064	2.78654816604309	0.0169167091863114	0.020580696890259
"Myofibroblast"	"Lymphatic"	0.995229640578164	0.563491238136906	0.436508761863094	0.00125326266270345	182.535668083509	363.486696001958	891.863772571162	396.578576960637	101.992718488618	140.083984915429	2037.61874087489	NA	1.28938048711276	6.14032915887482	1.06094490810231	-0.174090140964429	-0.63648980828004	10.9024657074173	265175902780.331	45389915965.1472	2194909877.86746	6698198808.57292	57564334007.7792	150829493913.3	29771517.4204531	596	0.995217503184368	2.77507359065085	0.0173065005069502	0.0210065109601603
"Differentiating Basal"	"Proliferating NK/T"	0.995242028917484	0.286204771642921	0.713795228357079	0.00112148587563037	645.235249294231	1592.26275396778	846.625122051376	16.5725742137844	46.8125686563197	30.9645395245521	14.3851391314734	NA	2.1868619532424	0.998164837940371	-2.22931426503058	-4.40136806537475	-2.64964152940812	-2.06766881482737	17055234201264.4	1873179090687.66	9278083177267.65	2412137049340.64	263637453887.326	1116969773273.35	1927240276849.46	969	0.995229902522318	2.76784431315093	0.0175565299000064	0.0212611187779894
"Mucous"	"Myeloid Dendritic Type 2"	0.995298685493171	0.0342642406908477	0.965735759309152	0.000933433962506148	2023.02242502101	120.233570803531	5414.38723135812	49.1233259015588	25.9053199882093	134.067865270273	38.6655769148967	NA	2.95070311222706	-3.99385260097708	1.35016718122475	0.888367833739256	2.63260023252228	1.32839550260641	1396346872286184	403140419427894	503852030896677	119128589237596	111686443950814	176459039359414	68195091650826.7	1111	0.995286697403584	2.73473307655396	0.0187470875220419	0.0226509432760598
