"Cell"	"OLR_estimate"	"StdError"	"z"	"pval"
"Classical.Monocyte"	"0.00300888072158434"	"0.00667604562710869"	"0.450698046365428"	"0.652207190589941"
"Intermediate.Monocyte"	"-0.00370032726369875"	"0.00985986516524198"	"-0.375291872828358"	"0.707443409740567"
"Nonclassical.Monocyte"	"0.00463517002156472"	"0.0084716113218018"	"0.547141487669063"	"0.584281531412601"
"Airway.Smooth.Muscle"	"0.0107748459511182"	"0.00708933787138277"	"1.51986633259681"	"0.128544573582122"
"Ciliated"	"-0.00376934677636803"	"0.00686569364748873"	"-0.549011792529767"	"0.582997357055264"
"Alveolar.Fibroblast"	"0.023719121098829"	"0.00679729514375088"	"3.48949407039287"	"0.000483935794529034"
"Myofibroblast"	"0.0321731122142175"	NA	NA	NA
"Adventitial.Fibroblast"	"0.00620414482236936"	"0.00696770951035975"	"0.89041381721567"	"0.373243725851941"
"Alveolar.Epithelial.Type.1"	"0.00352755390913733"	"0.00662229032344418"	"0.532678837206685"	"0.594255918109912"
"Platelet.Megakaryocyte"	"-0.00624860298455271"	"0.0065748778131758"	"-0.950375529721745"	"0.341921473200493"
"TREM2..Dendritic"	"-0.00952331738843534"	"0.00663430505296346"	"-1.43546570626586"	"0.151154433932833"
"Differentiating.Basal"	"0.00782733298487356"	"0.0123706042680002"	"0.632736511111345"	"0.526905722855341"
"Proliferating.Basal"	"-0.0113875720022528"	"0.00699256587876077"	"-1.62852552263274"	"0.103413501945828"
"Plasma"	"0.00786026562460818"	"0.00665081586315152"	"1.18184983411698"	"0.237265290154314"
"Bronchial.Vessel.2"	"-0.00110714292697784"	"0.0126954279810723"	"-0.0872080034346607"	"0.930506177775578"
"Bronchial.Vessel.1"	"-0.00693655259332514"	"0.00664268599450161"	"-1.04423912240723"	"0.29637477068292"
"Lipofibroblast"	"-0.00569095539295586"	"0.00684473805908107"	"-0.831435088360399"	"0.405727883849783"
"Mesothelial"	"-0.000783394275752749"	"0.00720954970060566"	"-0.10866063877567"	"0.913471662643085"
"Basophil.Mast.2"	"0.016043960027658"	"0.0112596396754463"	"1.42490883279726"	"0.154183556059506"
"Signaling.Alveolar.Epithelial.Type.2"	"0.00744377673340093"	"0.0071675395437231"	"1.03854003008881"	"0.299018708905861"
"Proximal.Basal"	"0.00378994463881981"	"0.00696970855626608"	"0.543773761588995"	"0.586597166690944"
"Neuroendocrine"	"0.0764083458508989"	NA	NA	NA
"Fibromyocyte"	"-0.0102482381373061"	"0.00670827965551396"	"-1.5276998967809"	"0.126587065770774"
"Ionocyte"	"-0.0453200280605342"	NA	NA	NA
"Serous"	"-0.0053165642611744"	"0.00758293944439032"	"-0.701121814325904"	"0.483226997722446"
"Proximal.Ciliated"	"0.0094554172504764"	"0.00840199914690473"	"1.12537707813976"	"0.260429280061804"
"Goblet"	"-0.027187575914657"	"0.00685329707722793"	"-3.96707972940435"	"7.27586578974463e-05"
