Mixture	Capillary Aerocyte	Capillary	Capillary Intermediate 1	Capillary Intermediate 2	IGSF21+ Dendritic	Myeloid Dendritic Type 1	Plasmacytoid Dendritic	Myeloid Dendritic Type 2	B	EREG+ Dendritic	Macrophage	CD8+ Naive T	CD4+ Naive T	CD4+ Memory/Effector T	Vein	Artery	Pericyte	Vascular Smooth Muscle	Club	Mucous	Alveolar Epithelial Type 2	Basal	Lymphatic	Proliferating Macrophage	CD8+ Memory/Effector T	Proliferating NK/T	Natural Killer T	Natural Killer	OLR1+ Classical Monocyte	Basophil/Mast 1	Classical Monocyte	Intermediate Monocyte	Nonclassical Monocyte	Airway Smooth Muscle	Ciliated	Alveolar Fibroblast	Myofibroblast	Adventitial Fibroblast	Alveolar Epithelial Type 1	Platelet/Megakaryocyte	TREM2+ Dendritic	Differentiating Basal	Proliferating Basal	Plasma	Bronchial Vessel 2	Bronchial Vessel 1	Lipofibroblast	Mesothelial	Basophil/Mast 2	Signaling Alveolar Epithelial Type 2	Proximal Basal	Neuroendocrine	Fibromyocyte	Ionocyte	Serous	Proximal Ciliated	Goblet	P-value	Correlation	RMSE
GTEX.14E7W.1326.SM.5RQIV	0	0.0730563329959324	0.18136767769008	0	0.017714178248784	0.021272371142154	0	0	0.000573691580035229	0	0.0488356638739191	0.0080161839519787	0.00384402217674807	0	0.0568608011149381	0	0.0258891091721586	0.0411478538932818	0.00270226243294476	0	0.0508353990630918	0.00147728915502688	0.000675838720262902	0	0.00349643650171781	0	0	0.00238943646865582	0.0584574510427637	0.00854189745983011	0.00279741241030762	0	0	0	0.00343145023622836	0.133268600730559	0	0.00581315905876798	0.0642777088181644	0.00105077387355133	0.0479593061334625	0	0.014598826932621	0.00655461430417268	0.0514764331239594	0.0137180447523641	0.000593744955081795	0.00472229532648586	0	0	0	0	0.0360831962233132	0	0	0	0.00650053643665732	0	0.664362218455972	0.787104474102401
GTEX.14JG1.0926.SM.5YY8W	0	0	0.18653323357564	0	0.0266410301460369	0.0184056370330371	0	0	0.000120477534162107	0.0201998859227894	0.0880848644409703	0.00591732000424224	0	0.0042828129534061	0.047438430607783	0	0.0188866073706035	0.0512414609350066	0.0106885037440323	0	0.00190681332969789	0	0	0	0.00516038463511682	0	0	0.00574806478496666	0.0490884271800441	0.00562809751398731	0.000444661279166396	0	0.00612916882017192	0.00369747608102805	0.00213664197273649	0.156106730216577	0	0.0146577364636206	0.0841164992296184	0.00103511328328029	0.0778778040944691	0	0.0169006828593813	0.0068276428693379	0.018263118669315	0.0199311882826429	0.000649261599385288	0.0189061213543112	0	0	0	0	0.018755540404015	0	0	0	0.00759256080942079	0	0.711264163015097	0.77673248132277
GTEX.14JG6.0326.SM.6AJBT	0	0.0269350849540577	0.114208015236385	0	0.0448781405545416	0.00174190270087956	2.38128129669915e-05	0	0.00174611153289304	0	0.104161744962285	0	0.00178759447014967	0	0	0.00726251752430877	0.0043640691142803	0.031912554245318	0.0801709646758808	0.0505622304439214	0.104464490295925	0	0	0	0.00432477868097753	0	0.000881975128132046	0.00293457059263676	0.0109440368238223	0.0106432744848321	0.0197788011926701	0	0	0	0	0.0676890684990158	0	0	0.0694864044211451	0.000527392530761482	0.111796744352646	0	0	0.000467089343308824	0	0.022676337128742	0.00477783062322774	0	0	0.0264621209009892	0.0247068067741709	0	0.0184993451264674	0	0.000233209559858938	0.0177415407726165	0.0112094395401866	0	0.50620577149175	0.862447451862216
GTEX.14JIY.1326.SM.6AJB3	0.00590849754620175	0.0224606044607115	0.062038043187638	0	0.00868922215092667	0.0370501731748661	0.00463065350071741	0	0.00351601224303997	0.0299135254206996	0.0275193197392802	0	0.00124380007480507	0	0.0534915708863755	0	0.0100604591950072	0.144124690749718	0.00138500660358279	0	0	0	0	0	0.00559559179894209	0.000826479226532725	0.000407314639899906	0.00868589703989893	0.0221944507220445	0.011229921168383	0.060060106451691	0	0.0023331183987086	0	0.0110094831823582	0.207072636594238	0	0.0454096729200594	0.0257822942935627	0.00155604096594834	0.00927127421076411	0.0188432733868676	0.011589471698568	0	0	0.072312526245773	0	0.00358233551128515	0	0.0162303510022151	0	0	0.0420391406106092	0	0	0	0.0119370409980801	0	0.498302305438235	0.872092151110237
GTEX.14LLW.0726.SM.5ZZVV	0	0.0897841785880595	0.231455160487597	0	0	0	0.00103966784587963	0	0.000163598028202824	0.0132449362083832	0.0357226720074343	0	0.00188906541317829	0.00311914103342669	0.0103157532342627	0.0457682484266854	0.0401296758928306	0.0560404451232691	0.00608915714240621	0	0.00397124892542175	0	0	0	0	0.00114621959721104	0.00157558921104952	0.00472200603464696	0.00756592059620013	0.0171079082584001	0.0627750084058369	0	0.0131932066045315	0.00275357094679245	0.00268616978588499	0.210201081362432	0.0098049686002086	0	0.0302315805273119	0.000636273934636125	0.00679276153591105	0	0.0091556719213769	0.000127070869930761	0	0.0318799336208829	0	0	0	0	0.00609493571709521	0	0.0289308030544993	0	0	0.00298391099208534	0.0109024600660386	0	0.464435737211851	0.886381962861171
GTEX.14LZ3.0726.SM.5YYAB	0	0.096917596709407	0.109881012811482	0	0.0437222863511369	0.00291434343749696	0.00388390892742225	0.00366795124754237	0.00186709464580943	0	0.0254396956176927	0	0	0	0	0.0585248018439667	0.0645267622790795	0.0382191480756204	0.0060622248437156	0	0	0	0.0316388567961991	0	0.00499082173956894	0	0.00206426923198753	0.00777048485932749	0.00914243814504935	0.0132920964092826	0.0259982505289128	0	0	0	0	0.128826165346993	0.0216161662552487	0.0147814615632086	0.108754794346797	0.00145790972191393	0.0480362546079218	0	0.00820011911763515	0.00120530848287085	0	0.0501490735839419	0	0.00134446581410693	0	0.020929600762773	0.0237975370090095	0	0.0142884450688663	0	0.000253819031741305	0.000301366976193773	0.00553346781007878	0	0.585625648036634	0.832739638115265
GTEX.14PHY.0526.SM.664NM	0.0104421163774608	0.0493222189972255	0.0136510085937389	0	0.0699010700747078	0.00036832036384742	0.00151755887224247	0	0.000604803673305051	0	0.0913482331492358	0	0	0.011551164460513	0.000494404170028837	0.0477132720198955	0.0100383344918516	0.0183337314037789	0.0476487890303944	0	0.144275996708324	0	0	0.0115744172167024	0	0	0	0.00322337910825421	0	0.00991609607328356	0.0342087385334447	0.0100578256589102	0	0	0.0150837646916817	0.0948163419806872	0.0012222787881904	0.0762332550113803	0.0602629902830801	0.00091027643436847	0.0678776779153673	0	0.00379594791093479	0.0259224620094337	0	0.0223129600120962	0.0101898849217399	0	0	0	0.00433402128592088	0	0.0134601687374465	0	0.000277581834735972	0	0.0171089092057921	0	0.535888786587365	0.84566078887176
GTEX.14PJ4.0626.SM.6AJBS	0	0.0047345298302767	0.134744991467492	0	0.0489205054042758	0.00466078896582478	0	0	0.00225036018650245	0	0.0970508017336095	0	6.83209082899405e-06	0	0	0.0290920262013368	0.006754610909164	0.0449379902977343	0.0221560255547863	0.0528946283314031	0.12162649051236	0	0.000795691470531626	0	0.0025738715638474	0	0	0.00756143089450141	0	0.0197570012296138	0.0434287052738547	0	0	0.0170295708308414	0.0218806698671652	0.0881377183229668	0	0	0.0766154475721106	0.000455104415583481	0.00913167153745537	0	0.0230192659968947	0.00339481119262964	0	0.0375992250922107	0	0.00479847588597854	0	0	0.0190957841658857	0	0.0365439544377373	0	0	0.0100676667674151	0.00828335199718137	0	0.522382292121093	0.854062690152528
GTEX.14PJ5.0226.SM.5YY99	0	0	0.17814309935291	0	0.0361489406930297	0.0069325047182483	0	0	0.000646267517696379	0	0.0672320154469081	0	0	0	0	0.0156499338113307	0.0090510702910471	0.010039543738238	0.00688799573282562	0.00388390071527655	0.0255466610900529	0	0.00419788281677454	0	0.0031425151464212	0	0.000175109120992913	0.00186659316379359	0	0.0103811090735881	0.0251721942750991	0	0	0.0136875417625597	0	0.126914127808354	0	0.00490735545205447	0.0919124047345889	0.000557399517150142	0.0325497007353926	0	0	0.00652803557519681	0	0.0278507895073952	0.0034965628917184	0	0	0.199295077540001	0.0335972607288641	0	0.0457144342505958	0	0.000292246903849022	0.00759972588804699	0	0	0.670039920834932	0.742982939257926
GTEX.14PJM.0926.SM.6AJ9Y	0	0.005734203980949	0.213707678591636	0	0.0257976081273405	0.0149026400065082	0	0	0.00336907396794358	0.0146949858851806	0.0241768612233597	0	0	0.000414829654304776	0.0353977034148073	0	0.0125830083268541	0.000243634383448689	0	0	0.144891734142832	0	0.0011200058300368	0.0076845905577502	0.0113364196175031	0	0.0026730497781707	0.00820281526820633	0.0197359575683877	0.0163657726385683	0.0142352637361755	0	0	0.0161207196435248	0	0.0926211144745138	0	0.000125077683286672	0.0663089036247433	0.00107230564798207	0.051399842687219	0	0.0044785153343777	0.00467025850504445	0.00818766660133162	0	0.0255513302944366	0	0	0.089994144214381	0.0161934519054168	0	0.0364950493422592	0	0	0	0.00951378334151916	0	0.754753315263222	0.661211291098255
